,Porto Alegre,Florianópolis,Curitiba,São Paulo,Campo Grande,Goiânia,Belo Horizonte,Rio de Janeiro,Vitória,Brasilia,Salvador,Aracaju,Maceió,Recife,João Pessoa,Natal,Fortaleza,São Luis,Palmas,Cuiabá,Porto Velho,Teresina,Belém,Macapá,Manaus,Boa Vista,Rio Branco
Porto Alegre,0,374,548,854,1120,1493,1343,1124,1536,1623,2300,1603,2777,2979,3067,3175,3215,3142,2220,1681,2713,2909,3197,3342,3136,3789,2819
Florianópolis,374,0,253,489,1007,1216,977,754,1160,1316,1931,2209,2403,2605,2694,2807,2861,2824,1929,1547,2646,2573,2908,3088,2980,3625,2813
Curitiba,548,253,0,335,775,971,821,675,1075,1078,1784,2059,2260,2459,2554,2643,1659,2600,1688,1302,2414,2361,2669,2835,2739,3374,2603
São Paulo,854,489,335,0,887,808,491,357,745,873,1459,1733,1934,2123,2216,2325,2366,2352,1492,1329,2465,2096,2468,2672,2700,3307,2708
Campo Grande,1120,1007,775,887,0,702,1115,1212,1488,880,1904,2155,2355,2529,2594,2657,2547,2290,1322,561,1635,2137,2218,2311,2016,2673,1833
Goiânia,1493,1216,971,808,702,0,664,937,1022,177,1229,1465,1662,1831,1891,1954,1858,1669,726,739,1814,1471,1700,1874,1914,2509,2140
Belo Horizonte,1343,977,821,491,1115,664,0,343,379,620,966,1241,1444,1640,1726,1833,1892,1933,1173,1372,2477,1652,2110,2350,2555,3118,2787
Rio de Janeiro,1124,754,675,357,1212,937,343,0,410,933,1209,1481,1672,1873,1965,2087,2190,2268,1509,1580,2709,1980,2453,2690,2851,3433,2987
Vitória,1536,1160,1075,745,1488,1022,379,410,0,944,839,1101,1283,1483,1580,1708,1854,2023,1409,1746,2836,1713,2277,2546,2865,3397,3158
Brasília,1623,1316,1078,873,880,177,620,933,944,0,1064,1289,1483,1654,1713,1776,1687,1526,618,878,1904,1313,1596,1795,1936,2502,2252
Salvador,2300,1931,1784,1459,1904,1229,966,1209,839,1064,0,275,476,674,762,877,1027,1324,1111,1917,2811,995,1688,2003,2606,3012,3209
Aracaju,1603,2209,2059,1733,2155,1465,1241,1481,1101,1289,275,0,202,400,489,607,815,1227,1232,2122,2947,904,1641,1969,2674,3025,3361
Maceió,2777,2403,2260,1934,2355,1662,1444,1672,1283,1483,476,202,0,201,298,435,728,1235,1380,2303,3091,930,1680,2009,2778,3091,3512
Recife,2979,2605,2459,2123,2529,1831,1640,1873,1483,1654,674,400,201,0,104,255,627,1210,1496,2454,3191,934,1677,2005,2834,3105,3620
João Pessoa,3067,2694,2554,2216,2594,1891,1726,1965,1580,1713,762,489,298,104,0,152,552,1161,1518,2494,3200,904,1635,1962,2818,3068,3633
Natal,3175,2807,2643,2325,2657,1954,1833,2087,1708,1776,877,607,435,255,152,0,433,1071,1527,2527,3181,845,1550,1875,2766,2986,3620
Fortaleza,3215,2861,1659,2366,2547,1858,1892,2190,1854,1687,1027,815,728,627,552,433,0,653,1301,2330,2858,497,1134,1453,2385,2566,3303
São Luis,3142,2824,2600,2352,2290,1669,1933,2268,2023,1526,1324,1227,1235,1210,1161,1071,653,0,966,1944,2274,329,480,803,1746,1914,2725
Palmas,2220,1929,1688,1492,1322,726,1173,1509,1409,618,1111,1232,1380,1496,1518,1527,1301,966,0,1030,1714,835,977,1183,1514,1995,2132
Cuiabá,1681,1547,1302,1329,561,739,1372,1580,1746,878,1917,2122,2303,2454,2494,2527,2330,1944,1030,0,1137,1862,1780,1824,1452,2108,1415
Porto Velho,2713,2646,2414,2465,1635,1814,2477,2709,2836,1904,2811,2947,3091,3191,3200,3181,2858,2274,1714,1137,0,2363,1889,1726,760,1336,450
Teresina,2909,2573,2361,2096,2137,1471,1652,1980,1713,1313,995,904,930,934,904,845,497,329,835,1862,2363,0,749,1079,1921,2171,2808
Belém,3197,2908,2669,2468,2218,1700,2110,2453,2277,1596,1688,1641,1680,1677,1635,1550,1134,480,977,1780,1889,749,0,330,1294,1435,2336
Macapá,3342,3088,2835,2672,2311,1874,2350,2690,2546,1795,2003,1969,2009,2005,1962,1875,1453,803,1183,1824,1726,1079,330,0,1055,1112,2162
Manaus,3136,2980,2739,2700,2016,1914,2555,2851,2865,1936,2606,2674,2778,2834,2818,2766,2385,1746,1514,1452,760,1921,1294,1055,0,665,1149
Boa Vista,3789,3625,3374,3307,2673,2509,3118,3433,3397,2502,3012,3025,3091,3105,3068,2986,2566,1914,1995,2108,1336,2171,1435,1112,665,0,1627
Rio Branco,2819,2813,2603,2708,1833,2140,2787,2987,3158,2252,3209,3361,3512,3620,3633,3620,3303,2725,2132,1415,450,2808,2336,2162,1149,1627,0